SITE;LOT;LAYER;ID;RAWMATERIAL;QUARTZQUALITY;CLASS;COREPREPARPROD;RETOUCHEDPIECEBLANK;PIECECOMPLETENESS;CORTEX;CORTEXLOCATION;CORTEXTYPE;PLATFORMTYPE;PLATFORMCORTEX;LIPPING;BLANKSHAPE;CROSSSECTION;BLANKTIP;PROFILE;SCARCOUNT;SCARPATTERN;THICKNESS;MAXWIDTH;PROXWIDTH;MEDWIDTH;DISTWIDTH;LENGTH;PLATFORMTHICKNESS;PLATFORMWIDTH;EXTERIORPLATFORMANGLE;WEIGHT;CORETYPE;CORECROSSSECTION;NUMBERCOREFACES;COREPLATFORM;COREDISTALTREATMENT;CORELEFTTREATMENT;CORERIGHTTREATMENT;COREBACKTREATMENT;MAINFACECORTEX;MAINFACESCARCOUNT;MAINFACESCARDIRECTION;MAINFACEARISORIENTATION;MAINFACESCARLENGTH;MAINFACESCARMAXWIDTH;MAINFACESCARPROXWIDTH;MAINFACESCARMEDWIDTH;MAINFACESCARDISTWIDTH;MAINFACEPLATFORMANGLE;MAINFACECOREUSE;DISTALFACECORTEX;DISTALFACESCARCOUNT;DISTALFACESCARDIRECTION;DISTALFACEARISORIENTATION;DISTALFACECOREUSE;LEFTFACECORTEX;LEFTFACESCARCOUNT;LEFTFACESCARDIRECTION;LEFTFACEARISORIENTATION;LEFTFACECOREUSE;RIGHTFACECORTEX;RIGHTFACESCARCOUNT;RIGHTFACESCARDIRECTION;RIGHTFACEARISORIENTATION;RIGHTFACECOREUSE;BACKFACECORTEX;BACKFACESCARCOUNT;BACKFACESCARDIRECTION;BACKFACEARISORIENTATION;BACKFACECOREUSE;COREABANDON;ALTERATION;FIRE;EDGEDAMAGE;RETOUCHEDPIECETYPOLOGY;CHIPQUANTITY;RMTYPE;OTHERNOTES
CAM;;PIT1;A4-804;Quartzite;;ElongBlank;;;;1-30%;LeftLateral;Cobble;Plain;No;No;Convergent;Triangular;Pointed;Straight;1;Unidirectional;7,86;15,43;14,24;12,86;2,05;34,66;3,7;14,91;87,7;3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A4-776;Chert;;Flake;;;;100%;;Outcrop;Plain;YesPartial;No;Circular;Lenticular;Hinge;Straight;0;None;7,42;31,79;25,36;32,41;25,06;27,27;6,47;25,4;88,8;7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;A4-749;Chert;;Core;;;;0%;;;;No;No;;;;;;;25,26;27,47;27,47;27,48;18,77;23,97;27,75;27,18;103,9;21,6;SinglePlat;Quadrangular;Two;Faceted;Other;RandomRemoval;FlakingSurface;RandomRemoval;0%;3;BidirectionalOpposed;Parallel;24,32;16,07;12,77;11,22;12,74;87,4;Mixed;;;;;;;;;;;0%;3;Unidirectional;Parallel;Mixed;;;;;;NoReason;Concretion;;;;;;
CAM;;PIT1;A4-745;Quartzite;;Flake;;;;100%;;Cobble;Plain;No;No;Circular;Other;Hinge;Straight;0;None;26,71;71,37;47,74;71,17;54,68;66;23,28;46,84;60,8;146;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;A4-740;Chert;;Flake;;;;0%;;;Plain;No;No;Irregular;Irregular;Step;Straight;3;Crossed;6,99;22,03;15,9;19,28;13,38;20,37;3,66;16,1;75,4;2,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A4-691;Quartz;Fine;Shatter;;;;31-60%;;Cobble;;;;;;;;;;;;;;;;;;;1,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;;;;;
CAM;;PIT1;A4-768;Quartz;Fine;Core;;;;61-99%;;Cobble;;YesComplete;No;;;;;;;15,11;27,01;25,65;27,5;24,69;19,13;12,16;25,99;89,3;10,3;SinglePlat;Triangular;One;Cortical;Cortical;Crest;Crest;Cortical;0%;3;Unidirectional;Parallel;18,02;17,03;5,22;12,42;12,93;82,3;Flakes;;;;;;;;;;;;;;;;;;;;;NoReason;None;;;;;;
CAM;;PIT1;A4-719;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Convergent;Irregular;Step;Irregular;2;Unidirectional;9,06;52,1;52,1;38,17;16,45;50,37;14,3;52,78;125,4;31,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A4-722;Quartz;Medium;Flake;;;;0%;;;Plain;No;No;Irregular;Irregular;Step;Irregular;4;Unidirectional;17,97;31,48;22,03;28,49;20,25;27,51;13,75;22,54;120,8;13,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A4-684;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Convergent;Irregular;Hinge;Straight;3;Unidirectional;9,87;33,26;33,26;26,67;13,97;20,28;11,82;31,68;82,4;7,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A4-797;Quartzite;;Flake;;;;1-30%;RightLateral;Cobble;Plain;YesComplete;No;Other;Other;Step;Straight;2;Unidirectional;8,84;36,75;35,22;35,91;32,2;51,59;16,08;35,91;58,9;24,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;A4-738;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Lenticular;Step;Irregular;3;Unidirectional;4,58;24,78;15,49;23,98;25,17;18,74;4;14,9;96,6;2,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A4-681;Quartzite;;Flake;;;;61-99%;Distal;Cobble;Plain;No;No;Irregular;Triangular;Hinge;Irregular;4;Unidirectional;18,02;84,62;31,46;73,63;74,38;85,91;18,58;32,19;89,2;194,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A4-786;Quartz;Fine;Core;;;;61-99%;;Cobble;;YesComplete;No;;;;;;;29,71;65,78;63,3;67,23;46,59;36,07;29,53;66,53;94;109,8;SinglePlat;Quadrangular;One;Cortical;Cortical;Cortical;Cortical;Cortical;0%;5;Unidirectional;Parallel;29,64;29,48;11,74;26,67;15,92;78,5;Flakes;;;;;;;;;;;;;;;;;;;;;NoReason;None;;;;;;
CAM;;PIT1;A3-720;Chert;;ElongBlank;;;;1-30%;RightLateral;Indeterminate;Faceted;YesPartial;No;Parallel;Trapezoidal;Overshoot;Curved;3;Unidirectional;2,86;8,35;6,24;6,67;5,58;35,63;3,44;5,64;87,4;1,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A3-722;Quartz;RockCrystal;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Irregular;Hinge;Straight;4;Crossed;6,88;21,95;16,02;21,09;10;26,79;4,9;16,13;82;4,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A3-677;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Irregular;Hinge;Straight;2;Unidirectional;6,99;28,88;22,36;26,17;12,23;27,24;6,88;24,82;87;5,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;A3-687;Chert;;Flake;;;;0%;;;Plain;No;No;Divergent;Triangular;Step;Straight;3;BidirectionalOpposed;11,16;32,62;16,39;24,03;27,53;20,96;6,17;15,61;84,8;6,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A3-721;Chert;;Flake;;;;0%;;;Plain;No;No;Divergent;Lenticular;Feather;Irregular;2;Unidirectional;2,81;20,41;9,02;15,12;14,79;20,97;2,68;8,59;94,5;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A3-683;Quartzite;;ElongBlank;;;;1-30%;ProxLeftLat;Cobble;Plain;No;No;Convergent;Irregular;Hinge;Irregular;4;Unidirectional;9,21;19,96;9,75;18,14;10,24;48,53;4,08;9,28;88;8,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A3-725;Quartzite;;ElongBlank;;;;0%;;;Plain;YesComplete;No;Irregular;Triangular;Pointed;Straight;2;Unidirectional;10,2;23,47;26,37;21,46;10,2;43,23;10,6;26,34;52,2;8,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;A3-706;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Irregular;Hinge;Straight;4;Crossed;8,64;21,43;12,41;19,07;8,44;20,79;7,57;13,29;86,4;3,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A3-678;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Lenticular;Feather;Straight;3;Unidirectional;4,4;15,95;15,95;11,27;7,98;18,99;5,02;16,61;102,7;1,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A3-698;Quartzite;;ElongBlank;;;;0%;;;Plain;YesComplete;No;Convergent;Triangular;Feather;Straight;2;Unidirectional;7,47;15,85;15,85;14,71;12,31;34,59;10,88;15,63;60;5,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B3-790;Chert;;ElongBlank;;;;0%;;;Plain;YesComplete;No;Convergent;Triangular;Pointed;Straight;2;Unidirectional;5,68;16,96;16,96;13,55;3,83;33,74;8,09;16,76;90,9;3,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B3-805;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Convergent;Triangular;Pointed;Straight;2;Unidirectional;7,76;24,94;24,94;18,12;4,55;36,97;11,4;21,7;68,2;5,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B3-765;Quartz;Medium;Flake;;;;0%;;;Plain;No;No;Other;Irregular;Step;Irregular;2;Unidirectional;6,25;21,33;19,57;20,22;14,1;23,86;5,3;19,67;85,4;3,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B3-838;Chert;;Flake;;;;0%;;;Plain;No;No;Divergent;Irregular;Step;Straight;2;Unidirectional;4,23;18,58;7,74;14,54;10,85;15,81;4,34;7,61;82,4;1,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B3-792;Quartz;Medium;Flake;;;;1-30%;Distal;Cobble;Plain;No;No;Irregular;Irregular;Hinge;Straight;2;Unidirectional;4,88;22,13;11,19;19,58;20,93;21,64;3,64;10,6;92;2,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B3-827;Quartz;Fine;Flake;;;;100%;;Cobble;Plain;YesComplete;No;Irregular;Lenticular;Hinge;Straight;0;None;6,23;32,4;23,42;31,36;15,85;26,88;2,72;21,32;113,2;2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B3-836;Quartzite;;Flake;;;;100%;;Cobble;Faceted;No;No;Convergent;Other;Pointed;Straight;0;None;12,01;31,6;31,6;27,37;8,41;34,25;12,49;31,57;75,5;13,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B3-811;Quartz;Fine;Flake;;;;0%;;;Plain;No;No;Irregular;Irregular;Step;Irregular;3;Unidirectional;7,87;23,75;22,43;20,13;17,63;19,74;9,98;21,86;99,4;3,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B3-815;Quartz;Fine;FlakeFrag;;;Proximal;31-60%;Mesial;Cobble;Crushed;No;No;;Trapezoidal;;;3;;9,33;36,82;;;;;5,88;29,32;116,2;10;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A5-4478;Quartzite;;Flake;;;;31-60%;Distal;Cobble;Plain;YesComplete;No;Convergent;Quadrangular;Hinge;Straight;1;Unidirectional;9,35;27,85;27,85;22,78;6,39;36,77;8,83;27,63;87,6;12,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;A5-4461;Quartzite;;Core;;;;31-60%;;Cobble;;YesComplete;No;;;;;;;20,61;31,39;31,39;25,97;15,55;17,46;20,71;31,39;82,3;10,8;SinglePlat;Circular;Two;Cortical;Crest;Crest;Crest;FlakingSurface;0%;3;Unidirectional;Parallel;19,06;13,3;13,3;10,91;9,35;82,2;Flakes;;;;;;;;;;;;;;;;0%;4;Unidirectional;Parallel;Mixed;NoReason;Concretion;;;;;;
CAM;;PIT1;A5-4455;Quartzite;;Flake;;;;31-60%;RightLateral;Cobble;Plain;No;No;Convergent;Irregular;Pointed;Straight;5;Crossed;12,66;20,72;19,68;20,19;4,77;34,04;4,47;7,15;93,6;7,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;A5-4511;Quartz;Fine;Shatter;;;;0%;;;;;;;;;;;;;;;;;;;;;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;;;;;
CAM;;PIT1;A5-4475;Chert;;Flake;;;;1-30%;RightLateral;Cobble;Plain;YesComplete;No;Irregular;Lenticular;Feather;Curved;1;Unidirectional;4,8;21,75;17,02;18,81;12,85;11,93;5,57;17,5;93,6;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B6-1398;Quartz;RockCrystal;ElongBlank;;;;0%;;;Plain;No;No;Parallel;Trapezoidal;Hinge;Curved;3;Unidirectional;2,87;10,88;8,28;10,8;10,13;21,51;3,25;7,97;83,9;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-859;Quartzite;;ElongBlank;;;;0%;;;Plain;No;No;Parallel;Triangular;Hinge;Straight;2;Unidirectional;7,48;19,38;15,27;16,81;18,24;39,45;6,94;15,09;93,7;6,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-847;Chert;;Flake;;;;0%;;;Crushed;No;No;Irregular;Triangular;Hinge;Straight;2;Unidirectional;4,66;19,6;15,57;17,17;15,27;18,1;6,37;9,39;74,4;1,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-838;Chert;;Flake;;;;0%;;;Plain;No;No;Irregular;Irregular;Pointed;Curved;3;Crossed;5,29;26,33;10,86;24,88;4,93;24,01;4,37;7,92;78,9;3,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-783;Quartz;Fine;Flake;;;;1-30%;RightLateral;Cobble;Plain;YesComplete;No;Irregular;Irregular;Pointed;Straight;2;Unidirectional;7,49;28,21;17,11;22,59;6,65;23,82;5,67;15,41;80,3;5,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-844;Quartz;RockCrystal;Core;;;;31-60%;;Cobble;;YesComplete;No;;;;;;;17,14;19,34;19,34;10,87;6,02;11,14;19,9;18,54;116,5;4,5;SinglePyramidal;Triangular;Four;Cortical;Crest;FlakingSurface;FlakingSurface;FlakingSurface;0%;3;Unidirectional;Convergent;8,38;8,05;8,05;6,19;2;83,6;Flakes;;;;;;0%;1;;;Flakes;0%;3;Unidirectional;Convergent;Flakes;0%;1;;;Flakes;AngleLoss;None;;;;;;
CAM;;9;A2-782;Quartz;Fine;FlakeFrag;;;Distal;1-30%;Distal;Cobble;;No;No;;Irregular;Hinge;;2;;9,05;22,06;;;;;;;;4,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-845;Chert;;ElongBlankFrag;;;Proximal;0%;;;Plain;No;No;;Triangular;;;3;;1,91;7,64;;;;;2,73;5,73;90,1;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-777;Quartz;Fine;Flake;;;;0%;;;Plain;No;No;Irregular;Irregular;Hinge;Irregular;3;Unidirectional;7,2;31,64;21,85;23,17;8,92;21,77;7,63;17,34;88,8;4,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;9;A2-794;Chert;;Flake;;;;1-30%;RightLateral;Indeterminate;Linear;No;No;Irregular;Irregular;Pointed;Curved;2;BidirectionalOpposed;4,03;15,31;6,67;15,75;4,35;21,65;1,08;5,56;101,8;1,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-789;Quartzite;;Flake;;;;1-30%;RightLateral;Cobble;Plain;YesComplete;No;Irregular;Irregular;Step;Straight;4;BidirectionalOpposed;10,22;37,33;31,63;36,53;14,9;35,69;4,99;31,83;109,2;16,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-862;Quartz;RockCrystal;Core;;;;1-30%;;Cobble;;No;No;;;;;;;16,87;28,37;28,6;24,57;21,66;15,81;19,73;28,58;110,1;9,6;SinglePlat;Triangular;One;Plain;Crest;Crest;Crest;Cortical;0%;4;Unidirectional;Parallel;25,19;11,76;8,9;10,79;4,24;71,8;Mixed;;;;;;;;;;;;;;;;;;;;;AngleLoss;Concretion;;;;;;
CAM;;9;A2-791;Quartz;RockCrystal;Flake;;;;1-30%;RightLateral;Cobble;Crushed;YesPartial;No;Parallel;Irregular;Hinge;Irregular;1;Unidirectional;9,25;25,49;13,92;25,39;22,47;24,06;3,17;10,58;102,2;6,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-841;Chalcedony;;Flake;;;;0%;;;Plain;No;No;Divergent;Triangular;Feather;Straight;3;BidirectionalOpposed;5,95;21,94;7,14;14,19;21,96;26,75;5,37;7,27;98,2;2,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-785;Chert;;FlakeFrag;;;Proximal;1-30%;RightLateral;Indeterminate;Plain;No;No;;Triangular;;;1;;2,82;10,2;;;;;1,89;6,83;96,8;0,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;9;A2-798;Chert;;Flake;;;;0%;;;Plain;No;No;Circular;Irregular;Hinge;Irregular;2;Unidirectional;5,54;26,89;23,92;24,99;15,37;20,03;7,27;25,91;85,8;4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-842;Chert;;FlakeFrag;;;Distal;0%;;;;No;No;;Triangular;Feather;;2;;2,51;18,71;;;;;;;;1,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;A2-784;Quartz;Fine;Flake;;;;100%;;Cobble;Plain;No;No;Irregular;Lenticular;Hinge;Straight;0;None;5,63;19,54;19,54;18,88;13,38;16,29;5,32;18,73;77;2,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-715;Chert;;Flake;;;;0%;;;Plain;No;No;Parallel;Triangular;Step;Straight;2;Unidirectional;3,17;12,34;8,91;11,76;9,2;19,65;3,39;7,45;102,6;0,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;9;B2-839;Quartzite;;Flake;;;;1-30%;RightLateral;Cobble;Plain;YesComplete;No;Irregular;Other;Feather;Straight;2;Unidirectional;6,48;28,59;19,47;25,33;17,15;36,13;6,64;20,08;83,8;8,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;9;B2-658;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Triangular;Hinge;Straight;2;Unidirectional;6,34;34,35;25,85;31,63;11,13;21,24;7,4;24,49;63,1;4,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-1216;Quartzite;;FlakeFrag;;;Distal;1-30%;Distal;Cobble;;No;No;;Triangular;Feather;;2;;3,94;16,8;;;;;;;;1,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-1151;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Convergent;Quadrangular;Pointed;Twisted;3;Unidirectional;5,56;25,14;25,14;13,58;5,09;31,49;4,77;25,22;75,1;4,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-708;Quartz;Fine;FlakeFrag;;;Distal;0%;;;;No;No;;Triangular;Pointed;;3;;3,7;12,45;;;;;;;;0,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-1036;Quartzite;;Flake;;;;61-99%;Distal;Cobble;Plain;YesComplete;No;Divergent;Irregular;Feather;Irregular;1;Unidirectional;5,92;22,49;13,62;21,76;15,08;31,62;5,89;14,55;113,1;5,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;9;B2-683;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Trapezoidal;Step;Straight;3;Unidirectional;4,67;16,65;13,64;15,78;10,13;24,64;5;13,59;80,6;2,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-967;Quartz;Fine;Shatter;;;;0%;;;;;;;;;;;;;;;;;;;;;4,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;;;;;
CAM;;9;B2-1198;Quartz;Fine;Flake;;;;1-30%;Distal;Cobble;Plain;YesComplete;No;Déjeté;Triangular;Feather;Straight;2;Unidirectional;7,66;28,08;14,33;23,53;27,88;26,38;7,05;14,33;84,5;6;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;9;B2-1208;Quartz;RockCrystal;Chip;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;;;1;;
CAM;;9;B2-868;Chert;;Flake;;;;0%;;;Faceted;No;Yes;Irregular;Triangular;Feather;Curved;2;Unidirectional;3,81;16,87;12,11;14,49;7,58;15,37;3,92;12,42;79;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-733;Chert;;Flake;;;;0%;;;Dihedral;No;No;Convergent;Lenticular;Pointed;Curved;1;Unidirectional;2,26;23,06;23,06;14,66;4,17;17,98;3,06;22,97;73,2;1,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;Yes;;;;
CAM;;9;B2-739;Quartz;Fine;Flake;;;;0%;;;Plain;No;No;Parallel;Triangular;Hinge;Straight;2;Unidirectional;4,28;11;8,4;9,92;6,49;21,48;5,28;8,91;60,7;1,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-706;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Parallel;Irregular;Feather;Straight;2;Unidirectional;5,76;18,1;15,89;16,71;10,79;25,95;5,19;15,65;79;3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-692;Quartzite;;Flake;;;;31-60%;LeftLateral;Cobble;Plain;YesComplete;No;Irregular;Irregular;Hinge;Straight;1;Unidirectional;7,66;32,21;23,87;30,08;9,27;34,23;8,65;23,1;88,1;8,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-718;Quartz;Fine;FlakeFrag;;;Distal;0%;;;;No;No;;Other;Feather;;2;;3,48;14;;;;;;;;1,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-994;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Triangular;Feather;Straight;2;Unidirectional;5,37;18,6;9,66;17,95;15;28,47;3,12;10,79;91,2;2,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-754;Chert;;ElongBlankFrag;;;Proximal;0%;;;Plain;No;No;;Triangular;;;3;;4,02;9,07;;;;;3,73;7,62;75,1;0,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Fire;HeatTreatment;No;;;;
CAM;;9;B2-966;Quartz;Fine;FlakeFrag;;;Proximal;1-30%;LeftLateral;Cobble;Crushed;YesPartial;No;;Quadrangular;;;2;;6,29;16,64;;;;;5,99;12,01;81,9;2,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;9;B2-728;Chert;;Flake;;;;1-30%;RightLateral;Indeterminate;Winged;No;Yes;Irregular;Irregular;Hinge;Straight;1;Unidirectional;2,75;24,36;20,05;22,08;14,88;17,5;2,84;20,16;84,9;1,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
