SITE;LOT;LAYER;ID;RAWMATERIAL;QUARTZQUALITY;CLASS;COREPREPARPROD;RETOUCHEDPIECEBLANK;PIECECOMPLETENESS;CORTEX;CORTEXLOCATION;CORTEXTYPE;PLATFORMTYPE;PLATFORMCORTEX;LIPPING;BLANKSHAPE;CROSSSECTION;BLANKTIP;PROFILE;SCARCOUNT;SCARPATTERN;THICKNESS;MAXWIDTH;PROXWIDTH;MEDWIDTH;DISTWIDTH;LENGTH;PLATFORMTHICKNESS;PLATFORMWIDTH;EXTERIORPLATFORMANGLE;WEIGHT;CORETYPE;CORECROSSSECTION;NUMBERCOREFACES;COREPLATFORM;COREDISTALTREATMENT;CORELEFTTREATMENT;CORERIGHTTREATMENT;COREBACKTREATMENT;MAINFACECORTEX;MAINFACESCARCOUNT;MAINFACESCARDIRECTION;MAINFACEARISORIENTATION;MAINFACESCARLENGTH;MAINFACESCARMAXWIDTH;MAINFACESCARPROXWIDTH;MAINFACESCARMEDWIDTH;MAINFACESCARDISTWIDTH;MAINFACEPLATFORMANGLE;MAINFACECOREUSE;DISTALFACECORTEX;DISTALFACESCARCOUNT;DISTALFACESCARDIRECTION;DISTALFACEARISORIENTATION;DISTALFACECOREUSE;LEFTFACECORTEX;LEFTFACESCARCOUNT;LEFTFACESCARDIRECTION;LEFTFACEARISORIENTATION;LEFTFACECOREUSE;RIGHTFACECORTEX;RIGHTFACESCARCOUNT;RIGHTFACESCARDIRECTION;RIGHTFACEARISORIENTATION;RIGHTFACECOREUSE;BACKFACECORTEX;BACKFACESCARCOUNT;BACKFACESCARDIRECTION;BACKFACEARISORIENTATION;BACKFACECOREUSE;COREABANDON;ALTERATION;FIRE;EDGEDAMAGE;RETOUCHEDPIECETYPOLOGY;CHIPQUANTITY;RMTYPE;OTHERNOTES
CAM;;PIT1;B6-1386;Quartz;RockCrystal;Core;;;;31-60%;;Cobble;;YesComplete;No;;;;;;;21,43;29,05;27,01;28,94;21,58;24,77;19,16;27,72;95;18,8;SinglePlat;Circular;One;Cortical;Cortical;Cortical;Cortical;Cortical;0%;6;BidirectionalAlternate;;23,51;11,6;11,43;12,21;5,81;89,6;Bladelets;;;;;;;;;;;;;;;;;;;;;NoReason;None;;;;;;
CAM;;PIT1;B6-1214;Quartz;Fine;ElongBlank;;;;0%;;;Plain;No;No;Parallel;Triangular;Step;Twisted;2;Unidirectional;2,44;5,79;3,56;5,26;3,66;19,82;1,91;3,55;86,4;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1309;Chert;;Flake;;;;1-30%;LeftLateral;Outcrop;Plain;No;No;Divergent;Trapezoidal;Feather;Straight;3;Unidirectional;5,69;17,95;9,79;17,4;16,41;26,91;4,75;8,92;68;3,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1333;Quartzite;;Flake;;;;0%;;;Plain;No;No;Convergent;Irregular;Feather;Straight;2;Unidirectional;6,65;28,93;28,93;19,09;8,9;22,67;10,18;28,63;75,7;4,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1380;Chert;;ElongBlankFrag;;;Proximal;0%;;;Faceted;No;No;;Lenticular;;;3;;1,75;10,56;;;;;1,57;2,87;82,6;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1324;Chert;;ElongBlankFrag;;;Distal;0%;;;;No;No;;Triangular;Feather;;3;;2,34;8,65;;;;;;;;0,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1339;Quartzite;;Flake;;;;0%;;;Plain;No;No;Parallel;Triangular;Feather;Straight;2;Unidirectional;4,25;16,79;13,6;13,88;16,2;30,36;8,51;14,08;105,7;2,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1335;Quartz;Medium;Flake;;;;61-99%;RightLateral;Cobble;Plain;YesComplete;No;Biconvex;Irregular;Hinge;Irregular;1;Unidirectional;12,94;33,91;30,1;23,37;12,68;30,74;12,32;24,86;83,1;9,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1558;Quartz;Fine;FlakeFrag;;;Distal;1-30%;Distal;Indeterminate;;No;No;;Triangular;Feather;;2;;6,27;19,1;;;;;;;;2,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1562;Quartz;RockCrystal;ElongBlank;;;;0%;;;Crushed;No;No;Parallel;Triangular;Hinge;Curved;3;Unidirectional;4,18;9,39;6,39;8,76;8,21;23,18;2,76;6,16;79,7;1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1363;Quartzite;;ElongBlank;;;;0%;;;Plain;No;No;Parallel;Triangular;Hinge;Curved;3;Unidirectional;7,21;10,7;8,45;9,26;10,77;32,35;6,33;7,4;70,2;2,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1506;Chert;;FlakeFrag;;;Distal;0%;;;;No;No;;Triangular;Step;;2;;3,84;16,67;;;;;;;;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1385;Chert;;ElongBlank;;;;0%;;;Plain;No;No;Parallel;Triangular;Step;Curved;3;Unidirectional;2,77;7,73;5,75;7,74;6,94;28,42;1,74;4,45;94,9;0,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Fire;HeatTreatment;No;;;;
CAM;;PIT1;B6-1480;Chert;;Flake;;;;100%;;Cobble;Plain;YesComplete;No;Irregular;Other;Feather;Straight;0;None;6,46;19,79;12,35;19,92;11,97;26,72;4,9;9,65;89,3;3,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1436;Chert;Fine;ElongBlankFrag;;;Distal;0%;;;Plain;No;No;Irregular;Triangular;Pointed;Straight;3;Unidirectional;2,77;8,51;7;16,38;3,5;;;;;0,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1234;Chert;;ElongBlank;;;;0%;;;Plain;No;No;Convergent;Triangular;Feather;Straight;3;Unidirectional;2,27;7,75;7,28;7,73;4,4;15,59;3,22;7,8;98,1;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1225;Quartz;RockCrystal;ElongBlank;;;;0%;;;Plain;No;No;Parallel;Triangular;Hinge;Curved;3;Unidirectional;2,63;8,65;7,57;7,94;6,23;21,77;2,86;7,78;85,7;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1267;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Convergent;Triangular;Feather;Irregular;2;Unidirectional;4,24;16,43;15,67;13,68;5,24;20,35;5,51;14,43;72;1,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1500;Quartzite;;Flake;;;;31-60%;Distal;Cobble;Dihedral;No;No;Irregular;Irregular;Hinge;Straight;3;Crossed;8,15;44,74;22,64;40,2;44,43;25,2;8,15;18,27;71,1;7,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1233;Quartz;RockCrystal;ElongBlank;;;;0%;;;Plain;YesComplete;No;Convergent;Quadrangular;Step;Straight;3;Unidirectional;2,96;6,01;6,01;5,36;3,57;16,87;2,31;6,01;107,6;0,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1317;Quartz;Fine;FlakeFrag;;;Distal;0%;;;;No;No;;Trapezoidal;Feather;;4;;5,44;19,07;;;;;;;;1,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1522;Quartz;RockCrystal;Flake;;;;1-30%;Proximal;Cobble;Plain;YesComplete;No;Parallel;Quadrangular;Feather;Straight;3;Unidirectional;7,63;13,82;13,82;12,63;6,75;13,39;7,77;14,12;79,2;2,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1343;Quartz;Fine;Flake;;;;61-99%;Mesial;Cobble;Plain;YesComplete;No;Convergent;Quadrangular;Hinge;Irregular;1;Unidirectional;18,93;22,92;19,1;21,67;17,59;23,16;15,69;20,18;92,4;10,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1622;Chert;;Flake;;;;0%;;;Plain;No;No;Irregular;Irregular;Feather;Straight;3;Unidirectional;16,25;59,73;39,82;62,34;55,23;40,22;14,2;38,77;64;34,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1501;Quartzite;;Flake;;;;0%;;;Plain;No;No;Convergent;Irregular;Pointed;Straight;3;Unidirectional;10,63;21,39;15,38;20,7;6,39;32,53;9,68;14,94;64,1;6,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1392;Quartzite;;Flake;;;;1-30%;Proximal;Cobble;Plain;YesComplete;No;Parallel;Trapezoidal;Hinge;Straight;2;Unidirectional;5,2;15,96;15,96;13,65;11,36;19,61;8,9;15,69;67,9;2,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1442;Quartz;Fine;Flake;;;;1-30%;RightLateral;Cobble;Crushed;No;No;Convergent;Irregular;Hinge;Curved;3;Unidirectional;6,66;17,92;8,37;17,93;9,04;35,63;7,11;9,09;60,7;4,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1445;Quartz;Fine;ElongBlank;;;;0%;;;Crushed;No;No;Parallel;Triangular;Feather;Straight;2;Unidirectional;2,97;10,36;9,5;9,2;9,96;21,48;2,82;9,92;91,9;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1552;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Irregular;Hinge;Straight;2;Unidirectional;7,64;31,35;22,14;29,87;26,68;33,64;6,73;21,55;72,4;9,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
